Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,98.550003,100.279999,98.410004,99.989998,98.519783,3717900
2020-07-28,100.139999,100.790001,99.269997,99.860001,98.391693,4114200
2020-07-29,100.180000,102.889999,100.089996,102.519997,101.012566,4744200
2020-07-30,100.980003,101.580002,100.239998,101.529999,100.037140,3176900
2020-07-31,101.209999,101.370003,99.120003,100.639999,99.160225,4604000
2020-08-03,101.080002,101.550003,100.209999,100.680000,99.199631,3670900
2020-08-04,100.160004,100.680000,99.279999,99.930000,98.460678,2730600
2020-08-05,99.970001,102.360001,99.879997,102.139999,100.638168,4415300
2020-08-06,101.519997,101.800003,99.919998,101.750000,100.253899,3943000
2020-08-07,101.699997,102.300003,100.559998,101.230003,99.741554,3141900
2020-08-10,100.940002,101.260002,100.029999,100.040001,98.569046,2776300
2020-08-11,100.430000,100.430000,98.669998,99.059998,97.603455,4823000
2020-08-12,99.550003,101.099998,99.320000,100.650002,99.170074,2668900
2020-08-13,100.339996,101.269997,100.000000,101.099998,99.613457,2951700
2020-08-14,100.930000,101.220001,99.580002,99.989998,98.519783,2739900
2020-08-17,100.300003,101.419998,100.209999,100.709999,99.229195,4657400
2020-08-18,101.089996,101.720001,100.430000,100.959999,99.475517,3777600
2020-08-19,101.080002,101.620003,100.330002,100.480003,99.002579,2716800
2020-08-20,99.989998,102.019997,99.750000,101.629997,100.135666,3548600
2020-08-21,101.629997,102.540001,100.839996,102.400002,100.894348,3585000
2020-08-24,102.699997,103.230003,100.699997,101.389999,99.899200,3212700
2020-08-25,101.980003,102.900002,101.519997,102.470001,100.963318,2626400
2020-08-26,101.989998,103.290001,101.260002,103.190002,101.672737,2968800
2020-08-27,111.010002,114.000000,109.519997,111.290001,109.653633,36319000
2020-08-28,113.540001,114.199997,109.410004,110.790001,109.160980,17204000
2020-08-31,110.699997,111.739998,109.260002,109.470001,107.860390,6943200
2020-09-01,108.930000,109.070000,105.580002,106.550003,104.983330,7963100
2020-09-02,106.449997,109.910004,105.879997,109.440002,107.830833,5843700
2020-09-03,108.699997,108.940002,104.300003,105.529999,103.978317,6096900
2020-09-04,105.449997,106.040001,102.419998,104.160004,102.628471,5027700
2020-09-08,103.169998,103.820000,102.430000,102.839996,101.327881,5217700
2020-09-09,104.260002,106.930000,104.129997,105.809998,104.254204,4365100
2020-09-10,105.599998,105.599998,103.730003,104.000000,102.470825,4271200
2020-09-11,105.279999,105.699997,104.320000,104.699997,103.160530,4111000
2020-09-14,105.589996,106.660004,105.120003,105.690002,104.135971,3824100
2020-09-15,107.000000,107.529999,106.169998,106.580002,105.012886,3654900
2020-09-16,106.949997,107.370003,105.660004,105.699997,104.145821,4242500
2020-09-17,104.959999,106.750000,104.389999,106.660004,105.091705,4283500
2020-09-18,106.559998,107.989998,106.139999,106.860001,105.288765,7622400
2020-09-21,105.800003,106.459999,104.459999,105.949997,104.392151,4559800
2020-09-22,105.459999,105.519997,103.570000,104.800003,103.259056,4180300
2020-09-23,104.989998,104.989998,102.230003,102.730003,101.219498,4040100
2020-09-24,102.750000,103.529999,100.470001,100.919998,99.436104,7604000
2020-09-25,100.559998,103.610001,100.339996,103.449997,101.928902,5060300
2020-09-28,104.239998,105.250000,103.820000,104.440002,102.904358,5515500
2020-09-29,106.010002,106.410004,104.919998,105.190002,103.643326,4464300
2020-09-30,105.989998,109.480003,105.739998,108.830002,107.229805,9487000
2020-10-01,109.180000,110.330002,108.379997,108.639999,107.042587,7242100
2020-10-02,107.680000,108.660004,106.330002,106.500000,104.934052,5590500
2020-10-05,107.180000,108.650002,107.180000,108.559998,106.963768,3603400
2020-10-06,108.559998,108.769997,106.050003,106.250000,104.687744,3992600
