Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,271.000000,272.929993,267.130005,271.200012,271.200012,225600
2020-10-09,273.299988,276.239990,271.559998,273.559998,273.559998,150300
2020-10-12,274.799988,279.380005,272.649994,277.850006,277.850006,243600
2020-10-13,278.230011,280.950012,274.959991,276.950012,276.950012,191700
2020-10-14,280.000000,287.510010,278.630005,280.839996,280.839996,241500
2020-10-15,275.089996,285.920013,270.029999,283.570007,283.570007,264000
2020-10-16,283.579987,289.309998,279.970001,286.480011,286.480011,262600
2020-10-19,287.579987,291.329987,280.309998,281.470001,281.470001,227800
2020-10-20,283.350006,285.250000,277.000000,277.529999,277.529999,141600
2020-10-21,277.779999,280.350006,269.940002,272.600006,272.600006,245300
2020-10-22,273.049988,278.670013,270.619995,278.500000,278.500000,292200
2020-10-23,277.589996,281.989990,276.369995,281.420013,281.420013,202800
2020-10-26,279.220001,288.579987,277.950012,288.320007,288.320007,291400
2020-10-27,287.910004,293.470001,285.350006,290.510010,290.510010,354300
2020-10-28,286.869995,290.670013,279.839996,283.000000,283.000000,448500
2020-10-29,268.000000,270.000000,254.279999,254.610001,254.610001,835800
2020-10-30,253.649994,258.179993,242.729996,251.880005,251.880005,426400
2020-11-02,253.419998,259.750000,250.729996,254.850006,254.850006,443800
2020-11-03,259.399994,261.869995,253.589996,260.799988,260.799988,345800
2020-11-04,267.070007,272.000000,262.779999,266.440002,266.440002,335600
2020-11-05,271.519989,275.859985,267.880005,272.399994,272.399994,241600
2020-11-06,273.209991,274.679993,264.980011,272.209991,272.209991,205000
2020-11-09,282.130005,292.230011,277.220001,279.609985,279.609985,426400
2020-11-10,277.910004,279.540009,262.309998,268.839996,268.839996,320700
2020-11-11,272.079987,273.149994,268.119995,269.279999,269.279999,201100
2020-11-12,269.799988,274.000000,266.959991,268.290009,268.290009,178800
2020-11-13,271.119995,273.679993,270.000000,272.100006,272.100006,135600
2020-11-16,273.820007,275.109985,269.290009,272.750000,272.750000,237700
