Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,96.349998,97.889999,96.260002,97.160004,92.576302,5030700
2020-07-28,97.000000,97.620003,96.459999,96.709999,92.147514,5941800
2020-07-29,96.870003,97.400002,96.639999,97.010002,92.433372,5512000
2020-07-30,96.309998,96.739998,95.410004,96.040001,91.509125,6411500
2020-07-31,95.540001,97.250000,93.550003,94.910004,90.432449,14613000
2020-08-03,95.190002,97.169998,95.059998,95.940002,91.413849,6919000
2020-08-04,95.919998,96.029999,94.059998,94.290001,89.841690,7865100
2020-08-05,94.470001,94.800003,93.129997,93.250000,88.850754,6918900
2020-08-06,93.320000,93.650002,91.779999,92.570000,88.202827,7269300
2020-08-07,92.690002,93.000000,92.199997,92.919998,88.536316,5226600
2020-08-10,92.629997,93.669998,92.150002,92.379997,88.021790,7623600
2020-08-11,92.309998,93.290001,92.129997,92.669998,88.298119,7208400
2020-08-12,93.449997,95.580002,93.330002,95.510002,91.004135,7705600
2020-08-13,95.139999,95.500000,94.010002,94.680000,90.213287,6004200
2020-08-14,95.379997,95.669998,94.540001,95.070000,90.584885,5488100
2020-08-17,95.290001,97.260002,95.260002,96.349998,91.804512,7251400
2020-08-18,96.620003,96.699997,95.150002,95.650002,91.137535,4557400
2020-08-19,97.110001,97.419998,95.849998,96.099998,91.566292,7672000
2020-08-20,95.489998,96.029999,94.680000,95.199997,90.708755,6798000
2020-08-21,95.199997,95.320000,94.320000,94.860001,90.384796,5269000
2020-08-24,94.900002,95.239998,94.180000,94.510002,90.051315,4103600
2020-08-25,94.209999,94.790001,93.910004,94.059998,89.622543,6710000
2020-08-26,93.500000,94.410004,92.940002,94.349998,89.898857,5682800
2020-08-27,94.330002,95.059998,93.669998,94.300003,89.851219,5271500
2020-08-28,94.519997,94.650002,93.529999,94.169998,89.727356,4938300
2020-08-31,94.120003,96.010002,94.010002,95.769997,91.251862,9932300
2020-09-01,95.519997,95.919998,91.290001,92.239998,87.888397,15783600
2020-09-02,92.070000,94.239998,91.900002,93.949997,89.517723,9139200
2020-09-03,93.879997,94.309998,91.089996,91.870003,87.535858,8921900
2020-09-04,92.080002,93.129997,90.580002,91.870003,87.535858,9444800
2020-09-08,91.519997,91.860001,89.449997,90.220001,85.963699,8563900
2020-09-09,90.860001,92.430000,90.510002,91.629997,87.307182,5373500
2020-09-10,91.070000,91.410004,89.480003,89.650002,85.420586,10403600
2020-09-11,89.809998,90.339996,89.040001,89.699997,85.468224,8385800
2020-09-14,90.050003,91.260002,89.459999,90.489998,86.220955,5212300
2020-09-15,91.400002,91.980003,90.639999,90.910004,86.621147,3851300
2020-09-16,91.019997,91.269997,89.690002,89.779999,85.544456,6304400
2020-09-17,89.300003,90.809998,89.180000,89.629997,85.401535,5604700
2020-09-18,89.489998,90.500000,88.860001,90.110001,85.858894,10076300
2020-09-21,89.139999,89.430000,87.169998,89.089996,84.887009,7328300
2020-09-22,88.900002,88.949997,87.930000,88.599998,84.420128,5306100
2020-09-23,89.000000,89.269997,87.120003,87.139999,83.028999,6253000
2020-09-24,87.000000,87.000000,85.320000,85.910004,81.857025,9980800
2020-09-25,86.000000,86.860001,85.459999,86.230003,82.161934,9935600
2020-09-28,87.290001,88.199997,86.870003,87.279999,83.162392,6306900
2020-09-29,87.110001,87.279999,86.309998,86.889999,82.790787,5508900
2020-09-30,87.000000,88.440002,86.809998,87.589996,83.457771,8209300
2020-10-01,88.169998,88.169998,86.730003,87.139999,83.028999,8777300
2020-10-02,86.500000,87.349998,86.050003,86.120003,82.057129,5554300
2020-10-05,86.489998,88.180000,86.209999,87.930000,83.781731,5984200
2020-10-06,87.970001,88.059998,85.709999,85.889999,81.837975,8743800
2020-10-07,86.160004,87.300003,86.029999,87.070000,82.962303,5899700
2020-10-08,87.269997,88.580002,86.919998,87.339996,83.219566,5535100
2020-10-09,87.410004,88.699997,87.349998,87.699997,83.562576,6005800
2020-10-12,88.169998,88.599998,87.320000,88.320000,84.153336,7314900
2020-10-13,88.010002,88.800003,87.470001,87.830002,83.686455,7851700
2020-10-14,86.830002,87.110001,85.900002,86.070000,83.126297,5863900
2020-10-15,85.410004,85.739998,84.959999,85.230003,82.315033,6190900
2020-10-16,85.889999,87.150002,85.760002,86.269997,83.319450,5358500
2020-10-19,86.589996,86.790001,84.129997,84.309998,81.426491,10288000
2020-10-20,84.190002,84.830002,83.419998,84.250000,81.368538,6932100
